登録番号,集計開始,集計終了,出走数,1着数,逃げ,差し,まくり,まくり差し,抜き,恵まれ,まくり率,差し率,前づけ平均,前づけ率
2538,2025-12-27,2026-06-27,101,2,1,1,0,0,0,0,0.0,50.0,-0.04,1.0
2878,2025-12-27,2026-06-27,101,13,8,2,0,3,0,0,0.0,15.4,0.11,1.0
3024,2025-12-27,2026-06-27,71,24,13,5,4,0,2,0,16.7,20.8,1.79,50.7
3054,2025-12-27,2026-06-27,92,18,5,2,8,1,2,0,44.4,11.1,-0.01,0.0
3070,2025-12-27,2026-06-27,69,16,7,6,2,0,1,0,12.5,37.5,0.81,26.9
3072,2025-12-27,2026-06-27,94,10,7,2,1,0,0,0,10.0,20.0,1.65,48.9
3075,2025-12-27,2026-06-27,105,13,5,0,4,1,3,0,30.8,0.0,0.0,1.0
3081,2025-12-27,2026-06-27,64,11,4,3,3,0,0,1,27.3,27.3,0.0,0.0
3105,2025-12-27,2026-06-27,97,15,8,3,3,1,0,0,20.0,20.0,-0.02,0.0
3107,2025-12-27,2026-06-27,70,3,1,1,1,0,0,0,33.3,33.3,-0.06,0.0
3156,2025-12-27,2026-06-27,94,5,3,0,1,1,0,0,20.0,0.0,0.4,14.9
3158,2025-12-27,2026-06-27,109,22,15,1,3,2,1,0,13.6,4.5,0.01,0.0
3159,2025-12-27,2026-06-27,88,30,16,9,5,0,0,0,16.7,30.0,1.43,39.8
3161,2025-12-27,2026-06-27,86,6,3,0,1,0,2,0,16.7,0.0,0.52,16.9
3175,2025-12-27,2026-06-27,91,6,2,1,1,2,0,0,16.7,16.7,-0.02,1.1
3176,2025-12-27,2026-06-27,34,2,2,0,0,0,0,0,0.0,0.0,0.09,0.0
3202,2025-12-27,2026-06-27,107,8,4,0,0,1,3,0,0.0,0.0,-0.01,0.0
3207,2025-12-27,2026-06-27,97,3,2,0,0,1,0,0,0.0,0.0,-0.08,0.0
3211,2025-12-27,2026-06-27,85,4,3,0,1,0,0,0,25.0,0.0,-0.05,0.0
3212,2025-12-27,2026-06-27,95,10,7,1,2,0,0,0,20.0,10.0,0.43,16.3
3224,2025-12-27,2026-06-27,106,5,3,0,1,1,0,0,20.0,0.0,0.02,1.0
3226,2025-12-27,2026-06-27,83,6,4,0,1,1,0,0,16.7,0.0,-0.01,0.0
3232,2025-12-27,2026-06-27,93,22,14,5,2,1,0,0,9.1,22.7,0.02,0.0
3233,2025-12-27,2026-06-27,106,11,4,1,5,0,1,0,45.5,9.1,-0.04,0.0
3246,2025-12-27,2026-06-27,39,3,1,0,2,0,0,0,66.7,0.0,0.18,7.9
3251,2025-12-27,2026-06-27,144,24,10,7,0,3,4,0,0.0,29.2,0.06,0.0
3256,2025-12-27,2026-06-27,131,30,11,4,6,5,2,2,20.0,13.3,-0.02,0.0
3257,2025-12-27,2026-06-27,94,35,19,1,13,0,2,0,37.1,2.9,1.59,47.3
3265,2025-12-27,2026-06-27,95,21,12,4,1,0,2,2,4.8,19.0,1.61,45.7
3268,2025-12-27,2026-06-27,106,13,10,1,1,0,1,0,7.7,7.7,0.38,12.5
3277,2025-12-27,2026-06-27,107,9,5,1,3,0,0,0,33.3,11.1,0.09,2.9
3282,2025-12-27,2026-06-27,114,10,9,0,1,0,0,0,10.0,0.0,0.0,0.9
3284,2025-12-27,2026-06-27,108,17,12,2,1,2,0,0,5.9,11.8,0.13,2.8
3286,2025-12-27,2026-06-27,78,7,6,1,0,0,0,0,0.0,14.3,-0.01,0.0
3289,2025-12-27,2026-06-27,79,6,1,1,4,0,0,0,66.7,16.7,0.04,0.0
3293,2025-12-27,2026-06-27,89,1,1,0,0,0,0,0,0.0,0.0,0.02,1.1
3294,2025-12-27,2026-06-27,81,5,3,0,2,0,0,0,40.0,0.0,-0.07,0.0
3297,2025-12-27,2026-06-27,89,7,4,2,1,0,0,0,14.3,28.6,0.78,21.7
3300,2025-12-27,2026-06-27,147,33,18,4,2,4,4,1,6.1,12.1,-0.02,0.0
3302,2025-12-27,2026-06-27,86,13,3,0,6,1,2,1,46.2,0.0,0.05,1.2
3303,2025-12-27,2026-06-27,117,12,10,1,0,0,0,1,0.0,8.3,0.05,3.6
3304,2025-12-27,2026-06-27,142,28,17,4,3,2,2,0,10.7,14.3,0.01,0.0
3305,2025-12-27,2026-06-27,90,10,8,0,1,1,0,0,10.0,0.0,-0.03,0.0
3306,2025-12-27,2026-06-27,96,5,2,0,2,1,0,0,40.0,0.0,-0.03,0.0
3313,2025-12-27,2026-06-27,97,11,6,3,0,2,0,0,0.0,27.3,-0.06,0.0
3315,2025-12-27,2026-06-27,94,5,2,2,0,0,1,0,0.0,40.0,-0.07,0.0
3319,2025-12-27,2026-06-27,114,11,6,2,1,1,1,0,9.1,18.2,0.0,0.0
3327,2025-12-27,2026-06-27,123,24,16,3,3,1,1,0,12.5,12.5,0.49,15.6
3333,2025-12-27,2026-06-27,126,30,18,5,1,6,0,0,3.3,16.7,0.03,0.0
3334,2025-12-27,2026-06-27,154,21,17,0,1,2,0,1,4.8,0.0,0.09,1.3
