場名,場コード,開催日,レース,枠,登録番号,級別,氏名,F数,L数,平均ST,全国勝率,全国2連率,全国3連率,当地勝率,当地2連率,当地3連率,支部,出身,年齢,締切時刻
桐生,01,20260618,1R,1,5230,B2,石原　　凪紗,0,0,0.16,4.99,33.63,46.02,3.00,11.11,11.11,愛知,岐阜,22,15:23
桐生,01,20260618,1R,2,5066,A2,鈴木　　孝明,0,0,0.17,7.09,55.75,76.99,4.57,17.86,42.86,埼玉,埼玉,27,15:23
桐生,01,20260618,1R,3,3467,B1,森　　　弘行,0,0,0.17,3.97,15.38,35.38,3.84,18.75,31.25,東京,東京,57,15:23
桐生,01,20260618,1R,4,4414,B1,大澤　　真菜,0,0,0.17,4.59,32.88,39.73,4.44,22.22,33.33,東京,埼玉,39,15:23
桐生,01,20260618,1R,5,4020,B1,川上　　清人,0,0,0.20,4.46,29.67,42.86,3.78,18.52,37.04,香川,高知,46,15:23
桐生,01,20260618,1R,6,3655,A2,本橋　　克洋,1,0,0.17,5.35,30.65,54.03,5.92,38.33,60.83,群馬,群馬,52,15:23
桐生,01,20260618,2R,1,5228,B2,若林　　樹蘭,0,0,0.16,5.96,39.02,56.10,5.82,36.36,45.45,東京,山梨,23,15:53
桐生,01,20260618,2R,2,3579,B1,中里　　優子,0,0,0.16,5.33,31.34,53.73,5.52,33.33,55.56,埼玉,東京,53,15:53
桐生,01,20260618,2R,3,3981,B1,今坂　　晃広,0,0,0.20,3.94,18.27,29.81,3.21,20.83,25.00,静岡,静岡,48,15:53
桐生,01,20260618,2R,4,3868,B1,尾形　　栄治,0,0,0.20,4.79,26.32,45.26,4.68,31.58,36.84,東京,東京,50,15:53
桐生,01,20260618,2R,5,4017,A2,向井　　美鈴,0,0,0.17,5.73,36.28,56.64,5.20,45.00,45.00,山口,山口,46,15:53
桐生,01,20260618,2R,6,4513,A2,河野　　真也,0,0,0.18,5.69,41.94,54.84,6.00,44.44,61.11,福岡,宮崎,37,15:53
